"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","UNIT","FREQUENCY","SCALE","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_MA(10.0.1)","CAN.BM_MAI.XDC.A","OBS_VALUE","Canada","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","1769929.603","1816930.537","1826209.004","1925976.772","2111740.913","2375275.453","1768376.277","2032249.287","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","KOR.BM_MAI.XDC.A","OBS_VALUE","Korea, Republic of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","764979288","872075556","898069427","954722520.159534","1021448643.97758","1149262113","1273611866","1425887495","1566849999","1660530025","1751458357","1835641598.4","1920795017.4","2077234034.4","2247375043.4","2407459074","2530353622","2700362359","2913609579","3199835655","3613687601","3758235458.20157","3904552627","4160355825",""
"IMF.STA:MFS_MA(10.0.1)","PRY.BM_MAI.XDC.A","OBS_VALUE","Paraguay","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","9638236.117","9779172.905","10847293.50357","12485042.9691959","13853392.4912708","15214667.39812002","19773329.88957275","26808720.42088491","32480394.54911544","38657120.25907968","44878794.34133829","50155795.12965056","60657004.20267254","69755258.28722301","78964741.46412959","84769035.5514691","91890206.61212086","99295738.86391081","109023640.4590211","129980553.8693858","140779538.4439061","146583116.6356146","159345130.5100192","176772770.1883336",""
"IMF.STA:MFS_MA(10.0.1)","THA.BM_MAI.XDC.A","OBS_VALUE","Thailand","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","6561477","6647163","7062321","7471427","7926921","8573377","9109468","9944331","10617007","11778816","13559887","14966786","16062482","16809042","17554630","18295749","19212873","20109643","20841010","22958439.1384214","24061617.238568","24994190.6391523","25481697.5569749","26340780.7515539",""
"IMF.STA:MFS_MA(10.0.1)","KWT.BM_SA_SI.XDC.A","OBS_VALUE","Kuwait","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","9118.8764","9802.3087","10816.7421","11749.5386","13612.8614","15976.4068","19369.443","22764.8002","25033.399","25887.7719","27611.8569","29742.5123","32322.0469","33714.5361","35054.8145","35911.1787","36926.7984","29355.3124","19100.2415","17382.4433","17558.5485","38612.2121","39391.6204","40906.0917",""
"IMF.STA:MFS_MA(10.0.1)","VEN.BM_MAI.XDC.A","OBS_VALUE","Venezuela, República Bolivariana de","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","17501.8965322486","20064.1428242247","32585.1859808674","48861.9710020339","72042.0173915023","124442.610773414","166620.629236596","214608.878055824","264680.47968121","327002.61425936","487902.8540902","747904.93748582","1187995.16835876","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","PNG.BM_MAI.XDC.A","OBS_VALUE","Papua New Guinea","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","3327.47787604","3569.19387413","3410.49921216","3914.80415609","5069.281121612","7040.19692081","8994.90215821","9700.38700622","11822.5655063452","13033.91559469","15293.387444052","16966.82841023","18103.86212498","18716.27713115","20218.60349506","22417.09784724","22207.57787935","21368.07468729","22311.99196827","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","RUS.BM_MAI.XDC.A","OBS_VALUE","Russian Federation","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","2138211","2859987","3962084","5298699","7213400","10126800","14288700","16307600","19131500","23820700","28485900","32205700","37368700","42909600","51370100","50895200","54667100","61401600","64535500","75284800","","","","",""
"IMF.STA:MFS_MA(10.0.1)","NIC.BM_MAI.XDC.A","OBS_VALUE","Nicaragua","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","20313.43865964","23015.15929128","25924.96311799","30388.2787718259","33360.137377202","36169.1098822975","42852.8332252094","45993.9186653997","52588.963298998","63986.7690419466","72062.9438029919","83156.1873404318","98389.8200757502","113572.110034917","135107.620765616","150029.123578606","174061.594888683","141593.058220783","150416.58278614","173923.377504326","197964.963218769","220398.154160298","","",""
"IMF.STA:MFS_MA(10.0.1)","COG.BM_MAI.XDC.A","OBS_VALUE","Congo, Republic of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","236519","266522","261863","314191","421690","620303","723055","961435","1008636","1330854","1837025","2201869","2225097","2532280","2240741","1903915","1683881","1582683","1804246","2058850","2209774","2407247","2639306","",""
