"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_IR(9.0.0)","THA.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Thailand","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.939143675","6.58947700068424","5.464911739333335","4.795043196248828","3.454281073148782","4.862199052260385","5.001666666666665","5.385","4.595833333333332","4.5575","3.905","3.604166666666668","3.693333333333335","3.533333333333332","3.799649128787878","3.5725","2.734166666666668","2.1775","2.603333333333332","2.6875","2.054166666666667","1.331666666666667","1.750833333333333","2.69","2.7175","2.580833333333332","1.791666666666667"
"IMF.STA:MFS_IR(9.0.0)","MDA.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Moldova, Republic of","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.02","29.78166666666667","","","","","17.24","16.7575","6.48","9.525833333333332","14.70666666666667","19.42958333333333","18.04","7.903333333333332","12.40916666666667","7.156666666666668","6.188333333333332","7.616666666666668","20.29583333333334","17.46666666666666","7.360833333333332","5.914166666666668","6.336666666666665","5.7775","5.801666666666668","17.14333333333333","8.375","5.1275","7.32"
"IMF.STA:MFS_IR(9.0.0)","MMR.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Myanmar","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","11.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","","","","",""
"IMF.STA:MFS_IR(9.0.0)","TGO.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Togo","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","6.5","6.5","6.375","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","GHA.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Ghana","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.195","20.5375","16.4222222222222","12.7063888888889","14.8883333333333","16","15.14","13.425","20.4141666666667","18.2366666666667","24.3366666666667","23.5191666666667","24.3958333333333","20.0833333333333","17.7916666666667","19.8","19.4416666666667","18.2833333333333","25.9541666666667","29.85","",""
"IMF.STA:MFS_IR(9.0.0)","AUS.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Australia","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","5.838333333333335","6.646666666666668","6.713333333333332","5.831666666666668","6.933333333333332","9.036666666666668","9.741666666666668","10.03083333333333","10.22666666666667","9.06","9.749166666666668","11.6475","13.95833333333333","15.375","13.8875","13.525","13.95416666666667","13.41666666666667","13.19166666666667","12.10416666666667","13.40833333333333","13.18","10.69083333333334","9.22","7.280833333333335","9.041666666666665","9.21089527658369","8.20920705749882","6.954918543889368","5.492970528264008","6.009311942983282","6.314569334408058","5.615264328407205","5.843957711100875","5.366775497703415","5.590774507497332","5.339973113985558","5.587872244185798","5.99452083739212","5.817943939641592","5.039511842022712","5.366041666666668","4.879583333333335","3.379166666666668","3.696666666666668","3.655416666666668","2.710208333333332","2.333541666666667","2.639166666666668","2.684166666666668","1.484166666666667","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","USA.S13BOND_RT_PT_A_PT.A","OBS_VALUE","United States","Government bonds, Rate, Percent per annum","Annual","Units","","","","2.852222222222222","2.401666666666667","2.816666666666668","3.1825","3.6475","3.315833333333332","4.333333333333332","4.116666666666668","3.8825","3.945833333333332","4.0025","4.186666666666665","4.2825","4.923333333333332","5.073333333333332","5.645833333333332","6.670833333333335","7.348333333333332","6.159166666666665","6.21","6.8425","7.556666666666668","7.9875","7.610833333333332","7.419166666666668","8.41","9.4425","11.46","13.91083333333334","13.00083333333333","11.105","12.43833333333333","10.62333333333333","7.6825","8.384166666666668","8.845833333333335","8.499166666666668","8.55","7.858333333333335","7.01","5.873333333333335","7.08","6.579999999999998","6.438333333333332","6.3525","5.264166666666665","5.636666666666665","6.029166666666668","5.0175","4.610833333333335","4.015","4.274166666666665","4.29","4.791666666666668","4.629166666666668","3.666666666666665","3.256666666666668","3.214166666666668","2.785833333333332","1.8025","2.350833333333334","2.540833333333332","2.135833333333334","1.841666666666666","2.33","2.91","2.144166666666666","0.8941666666666668","1.403333333333333","","","",""
"IMF.STA:MFS_IR(9.0.0)","CIV.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Côte d'Ivoire","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25","6.35","","5.75","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","SEN.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Senegal","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25","6.28333333333333","6.25","5.9375","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","MEX.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Mexico","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.15998790078645","10.125","8.981666666666665","9.538333333333335","9.4175","8.388333333333332","7.793333333333332","8.3125","7.96375","7.09","6.667777777777777","5.598333333333333","5.6775","6.014166666666668","5.99125","6.19375","7.248333333333332","7.93","7.668333333333332","6.249583333333332","6.763333333333332","8.866666666666665","9.24375","9.700833333333332","9.383333333333332"
"IMF.STA:MFS_IR(9.0.0)","MDV.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Maldives","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4"
"IMF.STA:MFS_IR(9.0.0)","ZAF.S13BOND_RT_PT_A_PT.A","OBS_VALUE","South Africa","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","4.75","5.145833333333332","5.25","5.293333333","5.773333332333332","5.386666666249998","4.75","4.770833333333332","5.604166666666665","6.25","6.5","6.5","6.5","7.145833333333332","8.375","8.353333333083335","7.832499999833332","8.958333333333332","9.708333333333332","10.43666666633333","11.00833333283333","10.39583333283333","9.259999999166665","10.08583333291666","12.98749999925","13.5083333325","12.66499999975","15.226666666","16.79166666608334","16.365833333","15.29666666666667","16.37166666666667","16.90083333333333","16.15083333333334","16.34416666666667","15.44","13.9675","14.83166666666667","16.10666666666666","15.48333333333333","14.6975","15.1225","14.90166666666666","13.78666666666666","11.40666666666667","11.50083333333333","9.615833333333335","9.526666666666665","8.066666666666668","7.937499999999998","7.985","9.100000000000002","8.703333333333335","8.615","8.52","7.9","7.722499999999998","8.25","8.165833333333332","9.020833333333332","9.066666666666668","9.130833333333335","9.077499999999998","10.11583333333333","9.81","10.83416666666666","11.63166666666666","11.17416666666666","10.28083333333333"
"IMF.STA:MFS_IR(9.0.0)","MYS.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Malaysia","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.804875","6.35","5.114166666666668","6.505","6.390833333333332","6.874958333333332","7.6565","5.627666666666668","5.106833333333335","3.536666666666665","3.467333333333335","3.598333333333335","4.087666666666668","3.568166666666665","4.0065","3.571916666666668","3.729166666666668","3.589416666666668","3.518916666666665","3.448083333333332","3.252166666666668","3.4245","3.692416666666665","3.671333333333332","3.45325","3.64075","3.745416666666668","3.431833333333332","2.4205","2.711166666666668","3.758916666666668","3.604166666666668","3.607333333333335","3.310416666666668"
