FREQ,Frequency,REF_AREA,Reference area,VALUE,Value,UNIT_MEASURE,Unit of measure,BREAKS,COVERAGE,TITLE_TS,Series,1927-Q1,1927-Q2,1927-Q3,1927-Q4,1928-Q1,1928-Q2,1928-Q3,1928-Q4,1929-Q1,1929-Q2,1929-Q3,1929-Q4,1930-Q1,1930-Q2,1930-Q3,1930-Q4,1931-Q1,1931-Q2,1931-Q3,1931-Q4,1932-Q1,1932-Q2,1932-Q3,1932-Q4,1933-Q1,1933-Q2,1933-Q3,1933-Q4,1934-Q1,1934-Q2,1934-Q3,1934-Q4,1935-Q1,1935-Q2,1935-Q3,1935-Q4,1936-Q1,1936-Q2,1936-Q3,1936-Q4,1937-Q1,1937-Q2,1937-Q3,1937-Q4,1938-Q1,1938-Q2,1938-Q3,1938-Q4,1939-Q1,1939-Q2,1939-Q3,1939-Q4,1940-Q1,1940-Q2,1940-Q3,1940-Q4,1941-Q1,1941-Q2,1941-Q3,1941-Q4,1942-Q1,1942-Q2,1942-Q3,1942-Q4,1943-Q1,1943-Q2,1943-Q3,1943-Q4,1944-Q1,1944-Q2,1944-Q3,1944-Q4,1945-Q1,1945-Q2,1945-Q3,1945-Q4,1946-Q1,1946-Q2,1946-Q3,1946-Q4,1947-Q1,1947-Q2,1947-Q3,1947-Q4,1948-Q1,1948-Q2,1948-Q3,1948-Q4,1949-Q1,1949-Q2,1949-Q3,1949-Q4,1950-Q1,1950-Q2,1950-Q3,1950-Q4,1951-Q1,1951-Q2,1951-Q3,1951-Q4,1952-Q1,1952-Q2,1952-Q3,1952-Q4,1953-Q1,1953-Q2,1953-Q3,1953-Q4,1954-Q1,1954-Q2,1954-Q3,1954-Q4,1955-Q1,1955-Q2,1955-Q3,1955-Q4,1956-Q1,1956-Q2,1956-Q3,1956-Q4,1957-Q1,1957-Q2,1957-Q3,1957-Q4,1958-Q1,1958-Q2,1958-Q3,1958-Q4,1959-Q1,1959-Q2,1959-Q3,1959-Q4,1960-Q1,1960-Q2,1960-Q3,1960-Q4,1961-Q1,1961-Q2,1961-Q3,1961-Q4,1962-Q1,1962-Q2,1962-Q3,1962-Q4,1963-Q1,1963-Q2,1963-Q3,1963-Q4,1964-Q1,1964-Q2,1964-Q3,1964-Q4,1965-Q1,1965-Q2,1965-Q3,1965-Q4,1966-Q1,1966-Q2,1966-Q3,1966-Q4,1967-Q1,1967-Q2,1967-Q3,1967-Q4,1968-Q1,1968-Q2,1968-Q3,1968-Q4,1969-Q1,1969-Q2,1969-Q3,1969-Q4,1970-Q1,1970-Q2,1970-Q3,1970-Q4,1971-Q1,1971-Q2,1971-Q3,1971-Q4,1972-Q1,1972-Q2,1972-Q3,1972-Q4,1973-Q1,1973-Q2,1973-Q3,1973-Q4,1974-Q1,1974-Q2,1974-Q3,1974-Q4,1975-Q1,1975-Q2,1975-Q3,1975-Q4,1976-Q1,1976-Q2,1976-Q3,1976-Q4,1977-Q1,1977-Q2,1977-Q3,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4
Q,Quarterly,5R,Advanced economies,R,Real,771,"Year-on-year changes, in per cent",,,,Q:5R:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.5452,-9.4887,-7.5206,-4.0617,-1.7129,-0.1326,0.9387,-0.1977,-1.3425,-2.4308,-3.198,-2.5637,-2.7536,-1.6339,-0.6681,-0.2945,0.9589,1.6186,2.2497,2.8348,3.1381,3.2407,2.2407,2.0653,2.3386,3.3963,3.7359,4.0232,4.0681,4.0507,4.3045,4.1326,3.7961,3.322,3.5578,3.5162,3.3017,3.109,2.5242,2.0476,1.9896,1.7669,1.4932,1.7081,2.0899,2.6307,3.7868,4.5924,6.4555,7.0427,8.1524,8.9097,7.5393,7.1587,4.2328,0.3142,-2.9373,-4.9379,-4.7623,-3.2107,-1.4194,-0.6675,-0.1348,0.344,0.7836,0.9616,0.5867,0.2742,0.3514
Q,Quarterly,TH,Thailand,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:TH:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4114,11.8526,11.0784,8.9898,8.0397,12.1995,11.5622,7.9082,0.5853,-1.1905,-1.7405,1.4972,6.7332,4.739,8.4541,5.6677,4.9844,6.7485,-1.4105,-1.6899,2.5223,5.1724,10.3163,8.2212,8.1042,-8.265,-3.7543,-3.8674,-7.7644,-18.6895,-5.461,-7.7586,-6.3135,22.1612,-2.7007,3.4268,4.3377,-2.4738,-1.542,-1.2801,-2.7468,1.6141,3.3673,0.6102,2.0611,1.2859,3.0303,5.4587,4.9364,6.124,5.0735,5.5356,7.9116,7.741,9.0273,7.2207,4.9538,4.9641,2.5032,2.6048,0.3776,0.1867,2.5673,1.2384,-5.4327,-2.6377,0.2402,3.2166,9.6413,6.2567,3.0896,2.505,2.6585,2.7411,3.7962,1.7595,4.6974,6.1803,2.3981,3.8349,3.9434,1.1869,2.7972,5.0147,5.5447,7.6246,9.5238,8.3333,8.4793,10.6267,8.8731,10.1988,10.2804,6.8145,5.2975,5.8824,4.9307,5.7648,4.7214,3.4815,1.4684,0.7994,4.3607,4.796,6.2952,6.0562,5.6657,2.3907,0.953,1.6315,-1.5416,2.068,4.1807,4.2809,4.6971,1.1111,0.9709,0.8339,4.2263,3.0381,2.8205,3.5623,1.3724,4.266,4.7382,2.887,3.2,2.5271,0.5952,1.2537,3.0411,2.5822,3.4911,2.8302,0.4051,0.6293
Q,Quarterly,4T,Emerging market economies (aggregate),N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:4T:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2282,3.6398,2.3431,2.672,4.9977,9.0707,10.6168,10.3996,9.4431,6.0614,6.0336,5.2911,5.5031,7.546,6.494,6.6724,7.3914,6.8877,7.4395,8.5151,7.9975,7.8852,7.2525,5.0008,3.8229,3.1499,2.4258,3.106,3.3125,3.4398,4.7744,5.4864,6.4794,6.2631,6.094,5.4363,4.773,4.7147,4.3909,5.4351,5.9975,6.0105,5.8147,5.096,4.6461,4.8995,4.3655,4.3235,4.6443,4.7602,5.5268,5.415,5.6157,7.0897,7.4711,8.1292,7.0499,4.8595,4.0637,3.522,3.3786,4.0809,2.8283,1.4355,1.0799,0.8994,1.3201,1.6189,1.4258
Q,Quarterly,ID,Indonesia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:ID:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,6.1564,6.1833,5.9843,4.4689,4.3426,3.7206,3.4404,3.8816,3.646,3.3757,4.9056,6.1811,5.4483,5.4139,4.0572,1.8125,2.1482,1.8684,1.7446,2.2454,2.4135,2.5644,2.56,2.2824,2.1311,2.0979,2.3036,2.5381,2.8939,2.9266,2.9069,4.4796,4.5297,4.5378,5.0494,3.5932,3.6819,4.2492,6.7641,10.9998,12.1082,13.5055,11.5099,7.9241,7.4013,6.5269,6.2844,6.2694,5.9497,5.4618,4.6135,4.152,3.3886,2.7458,2.3787,2.6264,3.1741,3.3173,3.5057,3.6914,3.0826,2.8862,2.6918,1.6311,1.2613,1.2474,1.2429,1.3077,1.3642,1.2616,1.1491,0.9584,0.9557,1.022,1.1846,1.5789,1.6518,1.9367,2.0055,1.7926,1.9291,1.9565,1.7404,1.883,1.7621,1.4554,1.387,1.0758,0.8979,0.8498,0.8299
Q,Quarterly,HK,Hong Kong SAR,R,Real,771,"Year-on-year changes, in per cent",,,,Q:HK:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0849,18.2434,16.7657,6.6207,-6.0189,-17.7704,-20.5134,-23.9256,-26.2232,-24.8752,-21.7148,-20.4951,-21.7406,-14.6953,-13.8471,-14.2156,-5.3161,-3.3632,1.5262,13.6521,16.2085,12.2907,7.6766,6.2425,7.5956,15.3178,20.5529,18.6149,12.604,7.5853,9.3476,12.2888,19.2924,26.6007,20.0127,7.7376,6.3661,-1.0585,-2.567,4.8997,2.6175,3.6484,14.5897,30.1426,40.5524,45.9339,41.8216,23.6708,6.8285,-2.0381,-3.5156,1.741,5.0628,22.8403,18.1716,8.3433,6.3558,-9.7792,-13.6908,-17.3934,-16.6116,-8.9728,-3.5004,5.83,18.0081,32.476,39.3098,36.8587,20.2214,-13.0482,-28.465,-40.5393,-38.0108,-25.2761,-14.5651,2.2931,-0.7738,-0.6108,-7.9169,-9.8285,-9.4406,-14.6185,-8.6007,-9.0168,-10.4163,-6.4795,-8.2014,-9.6125,-9.1113,-13.2596,-15.0847,-10.2739,1.1868,19.468,30.2046,30.1953,28.8629,21.7139,21.588,18.6942,6.7661,0.2068,-3.3253,-3.0822,1.3357,3.7276,6.1792,10.3953,17.2906,23.836,18.7277,13.2007,-6.7814,-15.0298,-6.9732,4.127,21.097,27.6248,21.7685,19.3192,18.8783,19.7896,20.6263,12.8257,6.1386,0.5426,4.4625,10.8447,19.5072,23.68,14.6263,10.2025,4.0714,-1.244,-0.9762,1.464,6.5388,13.5445,17.4056,13.8983,4.6594,-7.5911,-10.3085,-8.327,3.019,14.0072,18.7077,15.618,11.8558,12.8977,12.7558,13.0111,3.1857,-0.9006,-0.2052,-4.4819,0.3048,0.369,-4.2035,0.6914,0.4869,0.9903,1.6791,1.4453,1.5886,-1.5736,-3.6789,-9.8403,-15.1046,-11.9553,-10.5075,-10.266,-9.5712,-13.2111,-13.8329,-15.1415,-9.3817,-8.0107,-7.9531,-1.8821,1.1681
Q,Quarterly,SG,Singapore,R,Real,771,"Year-on-year changes, in per cent",,,,Q:SG:R:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.7373,-6.4224,15.9735,33.4366,29.695,18.1511,5.5633,-2.9495,-9.4405,-11.5685,-11.0024,-11.5225,-8.3131,-8.585,-5.3026,-1.943,-2.1123,-1.4867,-2.7583,-2.6992,-2.7864,-2.7034,-1.8703,-0.7817,1.723,2.3009,2.7469,2.8024,3.3545,4.8342,6.7822,9.5277,13.8939,19.5954,23.7847,25.7982,21.7258,11.7244,1.6042,-9.8742,-23.6296,-25.0317,-10.6917,2.4814,23.9553,34.0944,18.8519,13.076,8.1444,5.2008,2.7893,0.3317,-1.379,-3.1671,-2.8563,-1.1676,-0.4477,2.4554,2.0207,-0.8787,-1.7045,-4.8486,-4.853,-4.0204,-3.5245,-3.2721,-3.6378,-2.9669,-2.5482,-2.012,-2.7196,-3.1336,-3.3796,-3.1783,-0.6611,0.6304,5.1584,8.7226,8.038,7.3361,2.6109,0.4201,1.7101,2.0273,1.9756,1.9068,0.9183,2.3141,5.8255,4.7311,4.8576,6.6336,3.0415,4.4622,5.8461,1.8617,4.9771,2.2401,0.2519,2.7035,1.5896,3.1734,2.2152,2.4686,2.3112,2.6158,4.4374,2.1235
Q,Quarterly,MX,Mexico,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:MX:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4687,6.5905,6.1811,6.9712,7.4542,7.7004,8.1443,7.4517,6.2774,6.2656,6.8708,8.1075,7.9763,6.312,3.979,2.8288,2.2184,2.025,3.0538,4.4056,5.6071,6.1299,5.9452,5.4956,4.0637,3.0643,2.8696,2.7791,3.7812,5.0948,5.705,5.8626,5.6966,4.2044,3.3506,3.8416,4.3184,7.658,10.3212,10.2212,9.5607,7.7904,6.0896,5.8685,7.3644,7.4817,7.8989,8.5656,8.4283,8.6693,9.048,9.316,9.0328,9.177,8.4429,7.6581,7.0372,5.7672,5.0369,5.3772,6.5673,7.7463,8.6641,8.5492,7.7422,7.9678,9.4236,10.4072,11.6789,11.5326,10.3813,10.0616,9.6706,9.3551,9.1864,8.7133,8.1525,8.7134,8.8639,8.9237
Q,Quarterly,EE,Estonia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:EE:N:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2728,48.6002,50.5833,47.1857,34.3283,29.9171,17.8874,5.1625,-1.2346,-9.9768,-7.4074,-19.6364,-34.9375,-37.6289,-42.1936,-33.5596,-5.4755,2.5827,14.9554,12.8264,6.6057,8.7613,6.7961,11.7705,7.245,7.5926,8.3636,5.8506,7.7333,8.1755,11.0738,15.5612,17.4917,14.4789,13.2175,10.081,8.0758,10.4935,4.0027,5.0802,2.0143,1.8239,7.3766,7.6972,7.707,4.8178,4.779,4.9025,6.5642,7.366,4.1049,5.687,5.9378,5.7629,8.1051,8.2046,11.472,4.0478,3.9007,4.8252,6.5789,16.0598,17.3087,20.3851,20.9877,27.3313,24.1895,16.8552,9.1837,4.9949,3.8487,5.7763,7.8104,6.686,6.4454,3.5669,4.613,5.5137,5.1771,5.5471
Q,Quarterly,HU,Hungary,N,Nominal,628,"Index, 2010 = 100",,,,Q:HU:N:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7611,14.22,15.3138,15.414,15.7698,16.4272,16.7231,17.0927,16.0219,16.4007,16.3863,16.3368,17.0783,17.9707,17.3714,18.9304,19.5418,21.2914,22.6443,22.5942,22.9931,23.6598,23.5827,24.2689,25.3345,26.0922,28.0323,29.2309,29.4958,30.9523,31.2753,31.0237,30.4457,30.6696,32.3017,32.7589,34.4019,37.5758,39.904,41.4987,45.8982,50.8217,53.9857,54.4693,57.5707,60.0485,63.0341,64.8309,66.2293,70.0071,72.9317,73.5246,79.6513,83.8379,85.7141,89.7342,87.4988,91.1102,93.5316,92.1729,91.5466,93.8172,95.5731,94.66,95.7866,97.0607,99.7279,100.1948,101.4145,103.8698,108.0331,108.8871,107.3926,108.7804,109.2074,107.0723,106.4318,103.1225,101.5212,98.6389,101.0942,100.5604,100.1334,98.2119,97.8916,97.1444,95.8634,95.3296,96.2904,92.9811,92.2338,90.419,90.6325,90.846,91.0595,89.7785,91.4865,93.4081,95.2228,97.3579,99.9199,105.3643,110.0614,111.6627,116.778,119.5334,122.9756,124.8447,130.4985,133.9561,138.008,140.8666,147.9584,152.1217,158.5268,162.5834,176.1409,182.0123,184.8946,183.5068,190.7659,186.7094,193.8618,191.193,209.2341,218.2012,226.2076,234.7478,257.6995,272.4313,280.7579,275.8473,286.9496,289.8319,291.0061,296.1302,321.3237,327.1951,330.7179,343.8484,376.0875,372.5647,400,416.8668
Q,Quarterly,PL,Poland,N,Nominal,628,"Index, 2010 = 100",,,,Q:PL:N:628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0437,100.2462,100.3882,100.3219,100.2557,100.909,99.8106,99.3467,98.0021,97.3582,96.0231,94.9626,92.5102,92.3397,92.2545,92.3113,91.9894,94.0252,93.4192,93.637,93.7979,95.0952,95.2845,94.5744,94.688,95.4834,97.273,98.343,97.8411,99.839,100.8427,102.1305,103.6644,106.0032,107.4046,109.9422,112.0538,114.6672,117.0249,120.3106,124.6662,127.1755,129.7794,131.0671,133.6616,137.771,141.3503,146.9084,151.7849,154.8149,158.4888,160.6287,160.5151,165.704,173.1654,181.5358,189.4139,194.9815,198.0873,200.4072,201.8748,204.2041,205.9843,209.09
