"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_DC(8.0.0)","STP.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","216.4658524791965","256.7199676831556","300.0012419817789","268.6784069297047","813.2197265768226","737.5124975263946","1029.500225205048","1417.830420895638","1278.630727474726","1382.696315705242","1275.719853876141","1629.579803535948","1659.150641341949","2198.522979689105","2526.747607462769","2105.608855257718","1582.104510961611","1639.671799902965","1760.142424161355","1590.641247432159","1285.588762026569","1126.37062607218","1563.798810955762","",""
"IMF.STA:MFS_DC(8.0.0)","PNG.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Papua New Guinea","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","1577.994256497561","1370.848523120794","1574.778983540398","2119.45195117069","2887.526883511995","4606.013692011676","7031.520031471137","6147.308896450643","7924.190209798345","8967.822223776518","10117.40777603624","9475.4467688846","8269.167134101152","6825.764556272383","5876.193520422389","4928.227731643841","5497.812561074201","7018.376063207763","7666.30177015441","5225.600450660315","8678.231606565097","12038.16128554291","11741.2165252699","10505.20859821363",""
"IMF.STA:MFS_DC(8.0.0)","RUS.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Russian Federation","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","1046500","1519200","2057900","3154200","4846300","6882000","9912800","12197800","13942700","15041300","17392000","17314300","18180000","25226158.585367","33040374.662095","27562093.8375161","29738697.4349105","39909532.5759176","41051094.0563133","52375840.1525198","53648104.3923563","","","",""
"IMF.STA:MFS_DC(8.0.0)","UKR.DCORP_NETAL_NFRA.USD.A","OBS_VALUE","Ukraine","Net (assets less liabilities), Net foreign assets","US dollar","Annual","Millions","-8672.071467765","-9744.56356060296","-9946.90562118057","-8453.46090912224","-8402.64602246817","-12937.4283685019","-24714.3700820848","-65558.6280544436","-84814.6385860936","-89737.9844678377","-87021.9433613856","-61234.9572374448","-40158.7938468463","-72266.4811788549","-178371.823768698","-171071.260381895","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","RWA.DCORP_NETAL_NFRA.USD.A","OBS_VALUE","Rwanda","Net (assets less liabilities), Net foreign assets","US dollar","Annual","Millions","-40773.0049522545","-47722.9958594699","-47789.0892668295","-47149.4356290451","-39064.4791439556","-1014.26118112889","-2969.36415457865","-474.35377733532","-2569.50714689081","-2586.39170414003","-2609.79787758945","-2769.58872218556","-2957.92184963754","-2896.18821078616","-3050.06678491025","-82641.3327524609","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","NGA.DCORP_NETAL_NFRA.USD.A","OBS_VALUE","Nigeria","Net (assets less liabilities), Net foreign assets","US dollar","Annual","Millions","-19664.0546559708","-23963.1158265699","-28765.1184984543","-28723.6018447459","-25484.8773721988","-25552.6561334284","-23321.617182722","-22177.2974902188","-29699.3925064468","7630.65779776752","7402.14364277661","10678.6328767754","10129.0155941268","5083.81590097546","-61.3362370427856","423.998638975342","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","ZWE.DCORP_NETAL_NFRA.USD.A","OBS_VALUE","Zimbabwe","Net (assets less liabilities), Net foreign assets","US dollar","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","SUR.DCORP_NETAL_NFRA.USD.A","OBS_VALUE","Suriname","Net (assets less liabilities), Net foreign assets","US dollar","Annual","Millions","7.02327785805321","136.053330690184","184.537285865065","233.868114409584","229.327320328477","267.987037577101","354.234643091696","319.215686575328","459.244170089676","467.549969143352","537.449066302762","633.489466117188","711.909865619818","652.492754436412","417.16724339364","-372.876230452088","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","VEN.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Venezuela, República Bolivariana de","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Units","11858353565.9187","22072745229.4262","39680818362.1848","53863017490.121","72464943776.279","88121366401.7415","93437070578.6282","100423889182.376","78917177955.8534","84132115303.2588","155289646930.102","138747319486.911","150591703975.014","","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","TCD.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Chad","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","18058.6535045782","71746.3941019866","38798.1513381937","48687.5903870393","72184.2600071157","259527.5772809451","406801.4351211046","617183.2806633386","238850.8023631131","303110.4085470107","456016.3413823027","558057.2619873134","537690.4560476675","522689.7350606757","88590.9341873646","-303711.2945194024","-299354.7261477606","-198538.196231932","-150043.098773107","-146057.375001209","-347787.513551361","","","",""
"IMF.STA:MFS_DC(8.0.0)","TCD.DCORP_NETAL_NFRA.USD.A","OBS_VALUE","Chad","Net (assets less liabilities), Net foreign assets","US dollar","Annual","Millions","-74834.9885845691","-74498.4119218864","-62048.3853006744","-53013.2812601355","-51365.4427159285","-40502.7676969392","-31191.8867044475","-25745.6031788462","-49108.0700435404","-46418.6715522075","-43886.4725066476","-41052.6954285009","-37993.0595344921","-50405.3913587952","-80243.3189906529","-117403.333179981","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","OMN.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Oman","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","-174.787919452194","-22.9755301828565","89.1032187165656","394.712705766334","694.038360962468","975.274234300909","3927.487738830124","4389.57536824072","4400.481351319711","5175.646853987175","6055.281024033399","6055.115632031666","6745.183088198486","6722.162602929727","4929.076267981324","4901.804355125212","4639.198724702228","5420.334242805633","5233.237523575652","3814.165086772303","4895.02237723999","4748.528979109802","6439.602221258996","7425.952132440651",""
"IMF.STA:MFS_DC(8.0.0)","MMR.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Myanmar","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","-8946.11579954518","-7971.36845707014","-9492.32883769667","-9899.63164195607","-10303.5330107341","-7076.7322432295","-1833.80222146493","2430.5186636329","5590.88815183125","6716.27986942926","24552.7666110242","5535437.09010208","5591478.49870181","7461226.55195009","10392950.2863576","9464007.27930939","9376638.07351027","10970556.6633113","10782366.299594","12745102.628245","","","","",""
"IMF.STA:MFS_DC(8.0.0)","TJK.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Tajikistan, Republic of","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","-134.281158346898","-25.924691082484","-164.960198634591","173.975112623204","189.720449965811","549.436962594058","166.927983476059","-169.0129189197","349.383527095778","909.822455275831","845.199938597144","1494.63394470421","471.87054593581","-956.81739320811","-236.518222361213","1790.89308346248","8382.17603988852","9200.10127008546","12108.3826493744","23778.4830627173","24868.3184336918","34949.1106731209","34820.2544719959","",""
