"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_DC(8.0.0)","PER.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Peru","Assets, Claims on Private sector","Domestic currency","Annual","Millions","","","","","","60414.57017000839","78667.082932451","104983.13555292","109235.768232076","126125.8610206802","152838.468431833","172986.82199367","205028.929069482","233121.84976569","265130.0882579974","277258.936376562","291793.350661436","321186.3900722961","340777.2927596432","389349.0381091755","413946.3308599776","430972.3060345816","430955.067914428","433905.0803455022",""
"IMF.STA:MFS_DC(8.0.0)","MDG.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Madagascar, Republic of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","","","","","","1198416.16130334","1394530.665134983","1766606.266218215","1868309.652987497","2247177.639386113","2355817.164461449","2559379.82329935","3026892.848494483","3517266.818154418","4080448.233963357","4458673.423233946","5185979.625993774","5930816.688165133","7168901.330448804","8073784.594051787","9774374.400373112","11626362.7097081","11889027.05338105","12960259.6195985",""
"IMF.STA:MFS_DC(8.0.0)","LBR.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Liberia","Assets, Claims on Private sector","Domestic currency","Annual","Millions","","","","","","","4340.95332509375","6508.2519731816","9418.42070756038","13266.7775622481","17825.1686774115","20139.8447676153","28651.6954454046","30452.7366131822","35063.0308630608","41134.29536","63125.2950925","82651.5447540656","87144.6099097636","80449.026730992","74265.672806854","89074.387174108","146996.659241295","154965.542170452",""
"IMF.STA:MFS_DC(8.0.0)","LSO.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Lesotho, Kingdom of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","872.997","1008.385","453.582","496.785","754.357","877.137","1162.03","1437.043","1832.758","2166.747","2654.37131390527","3735.9024404","4505.20754229","5060.314877628","5432.194500865","5584.59330279","6045.468512318","6712.98832518","7257.25462263","7309.66739094","7849.43253445","8248.51767198","9561.29834083","10449.78554642",""
"IMF.STA:MFS_DC(8.0.0)","MWI.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Malawi","Assets, Claims on Private sector","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","417124.216802351","448509.17321786","476330.466452277","482761.4615284341","583188.6651989149","672400.3601834574","796673.412090744","988873.491885345","1162937.900506323","1512094.523319528",""
"IMF.STA:MFS_DC(8.0.0)","STP.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","29.2647","43.9576","91.2068","169.0594","312.184885","454.3552396506735","611.8981849580235","750.3034661950635","1043.158088864605","1354.761744046802","1564.441077815284","1764.291507828773","1745.429267429005","1716.498525013225","1839.052206970703","1954.086321580575","1975.716848596482","1881.23275784426","1943.360155203063","1923.792030078156","1825.046916630415","1512.603835476176","1112.962635218366","1150.430475336722",""
"IMF.STA:MFS_DC(8.0.0)","KGZ.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Kyrgyz Republic","Assets, Claims on Private sector","Domestic currency","Annual","Millions","2780","3098.24","3962.523","6633.218","7977.4883","11954.9632","8752.57459633","25652.6248309","25287.63727895","27587.67343847","32324.54300923","40956.99122556","55059.43353209","79681.35230889","97697.80890712","97552.6016058562","112860.181416015","132388.637179387","151188.963017508","169374.428720798","187685.172701709","210682.519904266","264263.732228546","350871.253267966",""
"IMF.STA:MFS_DC(8.0.0)","RUS.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Russian Federation","Assets, Claims on Private sector","Domestic currency","Annual","Millions","1504600","1945200","2804800","4139500","5600900","8327800","12561500","17150900","17563100","19836900","25065100","29905100","35049500","43327605","46475454.7","45462729.1","47826298.2","53220104.7","57610068.2","64145166.9","73616881.8106","","","",""
"IMF.STA:MFS_DC(8.0.0)","KOR.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Korea, Republic of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","729852592","884019778","930446374","961672678","1056100033","1229027295","1407145661","1638408919","1664523871","1719905019","1840876148","1882886878","1928433277","2056112132","2190919973","2347019873","2505589875","2679394038","2910958344","3185433723","3553419096","3782407569","3938580413","4099848806",""
"IMF.STA:MFS_DC(8.0.0)","AFG.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Afghanistan, Islamic Republic of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","","","","","","16855.486058","33202.5772169922","48354.2870012583","64742.29199","84061.57373","42170.25521","42997.92504","46785.22428","43914.31428","46340.1082641864","46175.04939868","47695.4771","45700.78651","46638.30727","45960.1454695752","","","","",""
