"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","PRICE_TYPE","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:ANEA(6.0.1)","SYC.B1GQ.Q.XDC.A","OBS_VALUE","Seychelles","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17687407931.4328","19264166260.6056","21598506937.2213","23100502094.4481","24241545086.986","25578294714.5209","22575438530.4264","22700118480.5539","26099881536.1641","25964482807.794","",""
"IMF.STA:ANEA(6.0.1)","SYR.B1GQ.V.XDC.A","OBS_VALUE","Syrian Arab Republic","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","4319974292.8556","4443607197.01405","5141212785.97968","5065773335.11786","5202706657.73105","5728712863.72211","5662421533.46597","6735369003.41378","6605823795.50814","7688499696.86575","9419933036.4938","10967195181.8484","15090570052.7011","20377303702.2449","24733729690.414","27264399732.4894","32694999599.804","38974001851.1656","51270002435.1943","65777003124.2398","68788003267.2546","73291003481.1356","75342003578.5529","83225003952.9753","99933004746.5627","127712006065.994","186047008836.758","208892009921.837","268328000000","311564000000","371630000000","413755000000","506101000000","570975000000","690857000000","745569000000","790444000000","819092000000","947130000000","1010152000000","1118106000000","1074163000000","1266891000000","1506440000000","1726404000000","2020838000000","2448060000000","2520705000000","2791775000000","","","","","","","","","","","","","","",""
"IMF.STA:ANEA(6.0.1)","SYR.B1GQ.Q.XDC.A","OBS_VALUE","Syrian Arab Republic","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","109820399568.423","119349043297.815","147632336473.201","149553595147.32","163419257244.982","167214447305.087","162367118933.199","171009662280.849","163349107216.166","195948016211.517","184367057458.666","204603665194.101","248751678276.404","241341787166.578","287802559510.776","348656172183.766","379790127348.876","374473084658.032","405554337835.977","420154319956.258","464241222050.273","503530023916.391","516533924534.043","524823624927.783","490719823307.939","526524425008.566","501478223818.936","507752624116.954","572341927184.781","537617825535.475","593303064357.963","656945923027.179","743967293250.866","799085393396.335","843305244299.928","889038520199.536","915408304284.827","905428614306.19","955712617751.169","925884324891.581","947130000000","981983000000","1039888047160","1018708000000","1089026000000","1156714000000","1215082000000","1284035000000","1341515000000","1420832000000","1469703000000","","","","","","","","","","","","","","",""
"IMF.STA:ANEA(6.0.1)","VNM.B1GQ.Q.XDC.A","OBS_VALUE","Vietnam","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1477160845995492","1588645953257304","1699501268840189","1820667101109570","1923749392035517","2027590911241242","2739843171962717","2915553938417093","3076041910935707","3246870226271530","3455392132702027","3696825710306961","3944143679437741","4217874760824797","4532739396421492","4866315598023112","5005755653262253","5133589055868646","5571869247157209","5854085762955336","6269209955681868",""
"IMF.STA:ANEA(6.0.1)","VNM.B1GQ.V.XDC.A","OBS_VALUE","Vietnam","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","441646126403924.8","481294607382070.9","535761844030122.2","613443025683182.6","779337670445457.8","914001166898895.2","1061564518791204","1246769288994840","1616047128951000","1809148949953941","2739843171962717","3539881312295706","4073762287040810","4473655598642686","4937031677600984","5191323729850147","5639401003262277","6293904553910159","7009042131658485","7707200287051477","8044385729094592","8487475600588694","9621371822278556","10320311135906730","11511867197557790",""
"IMF.STA:ANEA(6.0.1)","BMU.B1GQ.V.XDC.A","OBS_VALUE","Bermuda","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:ANEA(6.0.1)","ERI.B1GQ.Q.XDC.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11282233827","12607210384","14031902217","15839504192","17879963043","21620109829","22122686362","24143770777","26051121218","26563168476","26612797895","23324887885","25367083590","26129473187","25435601013","25804858373","25554753460","25919374241","20881725584","23424968581","25967173144","32643288830","33258947751","29781317934","38993993614","30952900000","33240646602","29911687926","33809832939","35106747039","34920244823","35931159781","36871753777","37904162883","",""
"IMF.STA:ANEA(6.0.1)","ERI.B1GQ.V.XDC.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1521944180","1837358471","2191000000","2527755256","3450414553","3943372573","4758459620","5347199080","5958076226","6470751593","6798819068","8508911488","10180013464","12077210580","15291082058","16880499387","14411267382","15682200000","14186400000","19936400000","24438800000","31749400000","34668500000","30103500000","40040100000","30952900000","33366495000","28702300000","30235300000","29876495000","31841400000","33345206509","35928213553","34300000000","",""
"IMF.STA:ANEA(6.0.1)","UGA.B1GQ.V.XDC.A","OBS_VALUE","Uganda","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17506861151712.1","54117241670692.5","64759582821231.4","69825188689968.4","74924152556171.5","82771227576659.1","91582107734064.7","100548527459632","108518040921473","120484777455384","132089774789185","139689045108218","148310247630358","162749947272871","184895358378906","193512322428253","212626678597924",""
"IMF.STA:ANEA(6.0.1)","UGA.B1GQ.Q.XDC.A","OBS_VALUE","Uganda","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28911853978906.2","77195320970264.9","84445239572417.9","87685788152343.7","90830994796437.3","95469104536454","100421907891834","105223079600819","108518040921473","115358935509726","122786603240737","126410412147018","130881017931611","136885867725764","144047563993624","148427111758717","157767173090996",""
"IMF.STA:ANEA(6.0.1)","EGY.B1GQ.Q.XDC.A","OBS_VALUE","Egypt, Arab Republic of","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","","","282499460057.832","295466417726.753","304472816673.486","313157615712.676","350102454290.476","364106550918.446","360979311642.295","380833682414.862","387670039338.31","406688061254.301","422542529558.866","417051616827.726","438324174508.636","501014683506.417","536978070345.513","585959548250.226","636359214795.15","650904549910.419","","","","","","","","1018623353660.82","1059304888271.43","1091004784988.43","1116639912815.24","1140089350984.36","1143509619037.32","1176671397989.4","1225944810620.71","1280915351104.38","1343407821349.31","1422926690046.12","1530254752981.17","1623751879970.98","1711163395144.89","1771466275866.13","1827896494522.7","1886269541721.76","1963457042150.27","2051257823887.71","2191642590292.06","2346982434904.44","2514939153191.78","2632477344413.49","2767977135902.34","2816820083997.16","2879528127035.02","2974608525772.68","3061345489154.94","3195188097981.27","3334071532334.82","3470000000000","3654400000000","3857500000000","7169530000000","7685600000000","8009281899999.99","8240748000000","8500322940655.18",""
"IMF.STA:ANEA(6.0.1)","EGY.B1GQ.V.XDC.A","OBS_VALUE","Egypt, Arab Republic of","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","1726891609.67736","1841206738.83608","1967131760.33907","2324117868.81147","2831066162.61421","2987009968.84389","3000107338.29912","3270973072.09438","3458132964.92688","3740105578.87744","3965622250.65774","4080437634.40059","4754221020.02938","5962619497.96444","7050145137.12465","8632615717.67329","10290793581.0483","13159219021.7382","16466100000","18032100000","21335000000","26077700000","29321700000","34188700000","37853100000","54151000000","64770900000","80753300000","101046800000","116924100000","146260300000","165169000000","184008300000","214501000000","241208500000","270439600000","302194100000","323433900000","357606900000","377164300000","398404200000","438991100000","510281200000","566219700000","649496600000","783139100000","941596500000","1095848000000","1268710600000","1441678400000","1674700000000","1860400000000","2130000000000","2443900000000","2709400000000","3470000000000","4437400000000","5322100000000","6347784294306.25","7226499999999.99","8788309999999.99","11991124590079.3","16294522122113.1",""
"IMF.STA:ANEA(6.0.1)","MMR.B1GQ.V.XDC.A","OBS_VALUE","Myanmar","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:ANEA(6.0.1)","MMR.B1GQ.Q.XDC.A","OBS_VALUE","Myanmar","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:ANEA(6.0.1)","TZA.B1GQ.V.XDC.A","OBS_VALUE","Tanzania, United Republic of","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62318659036803.9","72977199824193.4","82603387740702.8","94349315563715.3","108362324289516","118742132824995","123997772372886","134540193903883","145384353315371","156167137118601","170820032386421","186753684781356","205846493134039",""
"IMF.STA:ANEA(6.0.1)","TZA.B1GQ.Q.XDC.A","OBS_VALUE","Tanzania, United Republic of","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77979847142103.1","83268117227265.3","88874111468139.2","94349315551944","100828392681411","107611390861799","115174468037418","123139238548799","128723537777225","134951513096543","141247192850197","148521016573545","156635318840839",""
"IMF.STA:ANEA(6.0.1)","OMN.B1GQ.Q.XDC.A","OBS_VALUE","Oman","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17842998945.03369","17896123875.35856","19004349313.73881","19880960903.19153","19725078149.67046","19292180175.77856","19676567359.62982","20223507388.14105","21167914391.19539","22222166491.77325","24211099930.75417","25659376604.07207","26293715630.99434","27054766060.04798","29452742408.6866","30992368141.24877","31392850161.63548","32967929322.57588","34631559286.4433","34736876981.34299","35184025503.3007","34786874300.592","33611176468.82897","34479097857.7544","37232500000","37758972746.98156","38375060308.96765",""
"IMF.STA:ANEA(6.0.1)","OMN.B1GQ.V.XDC.A","OBS_VALUE","Oman","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6168991166.218954","6856651869.940796","8558776808.062014","8538075956.334258","8868715617.141424","9510131533.990378","10911686762.65845","13652389724.78788","16371104008.85287","18571463422.45218","26839886633.19292","21322107422.05377","24990019371.78378","29797755654.37309","33608681120.58099","34580442529.41381","35642812843.40569","30264333578.49466","28887044742.87294","31089353280.65971","35184025503.30069","33859433381.74278","29187163381.74079","33576040691.23214","42238400000","40824175240.0382","41194252926.8291",""
"IMF.STA:ANEA(6.0.1)","CMR.B1GQ.V.XDC.A","OBS_VALUE","Cameroon","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4582084395969.63","4942679975325.38","5423134089631.24","5674926767974.3","6297476442231.17","6665360707707.96","7118457967864.9","7504468923597.63","8022307420139.96","8614011514119.35","9261144604741.65","9927778712311.99","10286732736687.4","10924187809511.2","11452867470364.7","12360954482799.4","13136692225088.8","13610554063347.2","14434774483839.6","15395858195209.2","16658553318933.8","17966123162397.6","19043066557147.7","20038566000000","20960865000000","22203329000000","23243662000000","23468507000000","24960496000000","27662020000000","29609383000000","32316227000000",""
"IMF.STA:ANEA(6.0.1)","TKM.B1GQ.Q.XDC.A","OBS_VALUE","Turkmenistan","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30464000000","27418000000","22674000000","21042000000","19632000000","17414000000","18580000000","21646000000","25669000000","30903000000","35776000000","41892000000","48047000000","54312000000","60269000000","66933000000","76804000000","81514000000","95493000000","116035000000","135616000000","149398000000","157211000000","158528000000","164352000000","171506000000","179797000000","188957000000","185899000000","204170000000","210925000000","219848000000","226473000000",""
"IMF.STA:ANEA(6.0.1)","TKM.B1GQ.V.XDC.A","OBS_VALUE","Turkmenistan","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","16000000","122000000","1445000000","2070000000","2608000000","3738000000","4867000000","6719000000","8431000000","11071000000","13757000000","16643000000","20732000000","25159000000","46097000000","53683000000","60764000000","79163000000","100218000000","111713000000","124044000000","125299000000","126630000000","132742000000","142667000000","157410000000","159092000000","173170000000","198371000000","219848000000","240363000000",""
