Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Bank credit to bank deposits (%),GFDD.SI.04,615.4695,420.9559,308.3333,316.0326,219.4445,182.353,190.4095,193.5872,174.3127,124.7339,151.4775,108.3139,114.0142,129.3289,133.1588,100.3439,87.07652,71.66417,97.28912,99.87733,92.76906,67.79237,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.90562,59.41396,60.26807,56.99373,61.68562,26.11724,23.00067,23.64046,21.57651,22.07197,19.90955,19.45025,18.22994,18.7596,16.8307,..
Albania,ALB,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.68888,12.73507,10.20287,10.33807,8.680862,8.612488,10.66688,12.73816,14.25826,16.30019,19.45933,29.11831,38.70012,47.93907,61.61376,63.52218,59.0051,58.43037,55.74315,53.83069,53.40128,51.55516,50.37444,50.60535,50.5542,51.63216,51.95975,51.59088
Algeria,DZA,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,90.98837,77.01433,56.07009,56.00104,64.95397,89.19537,85.32195,108.3979,132.1602,148.6714,170.0811,163.469,154.5197,140.9979,144.5504,152.0679,148.3762,158.2023,141.7361,139.018,135.0857,131.7926,139.452,124.3109,117.5956,122.5897,128.1316,135.5197,25.95206,19.88875,21.78384,21.06366,24.61664,16.32959,15.93344,18.6717,22.75307,19.65014,26.79668,24.74938,25.88542,31.35398,29.5643,27.94635,28.57536,33.38467,33.76478,31.80456,33.94255,37.96037,37.06756,43.47479,49.1687,49.99484,50.18056,53.70742,55.02512,48.48491
Andorra,AND,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.40376,20.46637,31.46839,19.94162,13.37482,14.1069,21.43877,26.58673,36.8115,43.97969,40.96426,49.77911,62.48415,61.46616,59.33615,65.94779,62.65359,72.17168,69.30701,59.79449,62.92494,54.26311,52.88972,47.44531,44.14502,32.0437,37.19412
Antigua and Barbuda,ATG,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.90572,78.5854,93.68951,92.30565,75.56314,78.95206,86.26067,78.74581,82.12801,81.57244,87.91777,87.36078,87.84506,86.17959,86.92673,89.05978,82.93306,83.57745,79.48301,71.62765,68.78436,83.89952,94.01801,88.20924,75.88737,78.0063,76.18534,78.37007,69.31627,66.27628,67.21742,72.719,73.72945,77.20529,85.97227,85.14003,80.25674,75.49197,71.95895,67.73779,57.95764,58.9736,53.24872,50.62948,53.34319,61.86497,52.02621
Argentina,ARG,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6539.978,1162.369,359.6076,65.06934,-30.31272,32.20212,-26.72252,32.6065,33.83974,-25.89533,-12.27962,3.071263,-27.08032,8.816881,83.91576,50.89866,34.85443,17.106,23.34016,-18.05187,-7.812902,56.63403,21.51364,-19.509,59.63185,102.5771,37.50489,30.31837,57.0715,33.51541,13.5041,22.83499,54.64248
