Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.84285686566253,6.83998223656721,9.38832772083979,10.58413068423,11.5750442390122,4.95918037606027,4.47210362973721,4.3216854169302,3.94105709996345,3.98149379462535,3.88832174612488,3.84188120492596,3.51231703339133,3.22995723026215,3.09659808966059,..,..,..,..,..
Afghanistan,AFG,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.84285686566253,6.83998223656721,9.38832772083979,10.58413068423,11.5750442390122,4.95918037606027,4.17944854276306,4.10825623711864,3.73272021162013,3.78980675535297,3.77581257666065,3.71038110758839,3.44212677085205,3.1735454944513,2.99421260598445,..,..,..,..,..
Afghanistan,AFG,Net foreign assets (current LCU),FM.AST.NFRG.CN,..,817000000,682000000,1901000000,1648000000,1881000000,1641000000,1498000000,1077000000,1143092304.92188,1437493461.4375,2288233403.45313,2550475761.46875,3032389756.46875,3614573954.48438,6748051845.95313,9582834844.5,16667433588.5,20106708078.875,21915226509,39353160286.125,44336215668,39505806722.7473,..,25661528057.6354,22136334740.9128,17763152851.2463,25090907313.8982,25678118192.0606,20202349519.8055,3856896159.6296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103826593510.626,147079553704.013,172783865487.518,214828922326.813,248098785003.267,338126323481.637,428038588436.325,472282591787.918,500179635486.138,545987529788.036,582766040486.691,651218737337.799,737860932263.592,790413851829.57,871656191935.557,..,..,..,..,..
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,167043599900,133474620100,182162721300,221358563000,249791940700,308163225800,348048404600,485419056200,515046858600,611692107000,726231122700,850347275400,1028794220100,1138809791300,1176469485800,1222756495400,1222916881100,1285460326500,1327690394700,1469596303300,1534966000000,1251172000000,1283441000000,1350910000000,1261918560000,..
Afghanistan,AFG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,50690800,42444500,40592100,45547800,44619680,45434560,47114050,38528800,45589800,41373600,49488930,67614026.9490591,81289660.8667313,126230158.218425,201456356.929145,217260903.825979,256505577.344226,431038896.524611,605029119.75129,934779039.414711,940035968.528784,657880757.48599,698660805.64221,582311039.774343,526217137.222427,610761731.107206,635742142.31282,746832947.388954,657015441.573253,630659707.861329,637925667.368511,576118920.253472,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3042274496.10726,4265888740.23846,5162440806.75156,6344641959.56008,7152304397.72645,7288702710.90529,7528549879.63682,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946,8497655795.34729,9748946326.71795,..,..,..,..,..
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.35799044700136,2.23601941932175,-3.64331388234628,-12.6195382087159,-25.8706814974751,-25.290058564309,-15.7724198274304,-21.9126573355151,-14.9501951919169,-18.9559612272258,-21.5852741164653,-20.1704643881064,-15.7183027911684,..,..,..,..,..
Albania,ALB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.3109373018231,38.5667222073844,40.8904191085198,41.048928970868,39.7219957616213,39.0603696115194,36.8808802178051,36.2098635348358,34.1324652358472,32.507358683887,33.725595513728,37.719333429721,36.4341686860283,33.7912381516025,32.4665672054877,34.126089863133,..
Albania,ALB,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.04586220706562,3.0995766607703,3.22197930965615,3.86574798468758,3.78095946298252,4.0171836777341,4.72926682323161,5.99185280537185,6.23658613419428,7.40498530869957,9.34353472755049,14.9949314067694,21.694385269331,28.7382254050496,34.3256419939269,35.915643530046,36.8712781153133,39.0627057245222,39.150038352089,37.8111440431648,37.2107984859343,35.1058492861305,34.2141279270655,31.9767041908472,30.0983798178823,30.977709431393,34.9031046234328,33.6074118897679,31.2493414294793,29.8471905522004,31.4796168257971,..
Albania,ALB,Net foreign assets (current LCU),FM.AST.NFRG.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-21629413795.6946,35443315096.0691,54424371563.4161,68297294555.3213,83030726075.0696,100070450902.137,130080322627.08,157270000000,164323898702.29,161812641078.739,188807245450.912,210787008285.198,233227456087.322,232443325345.253,206635854264.467,244388336662.246,339374729126.369,389025936838.888,451173898914.781,478910256532.322,524487126241.162,614841156645.895,655908394778.172,653746754779.323,680624716479.601,691446538021.481,746995285850.37,886437967572.447,850603491476.877,947969031057.584,1005015285875.46,..
Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14991970000,15514160000,15968780000,16142520000,15935960000,16276690000,16778610000,16646370000,16409890000,18024720000,16228430000,15833650000,48934320000,120976260000,177981840000,269294839700,338000308300,336480806600,393069964000,453512322600,516206780300,583125139000,633932624600,700711634600,760444767600,824594556600,897697711100,1005281279300,1112317142000,1171606460700,1256235269500,1308997906100,1324877373900,1352246838700,1402496106600,1444801964100,1488303314600,1579055793200,1660820293400,1712037493200,1655984492600,1866671560600,2149741304200,2364276124300,2517819719300,2650990132400
